AntColony,NearestNeighbor,OneAheadNearest,BranchBound,BranchAntColony,BruteForce
1.00099,0.0005806,0.000538867,0.00149033,0.00128467,0.000783367
4.91413,0.00122783,0.0014416,0.00500417,0.00385003,0.00296933
14.0125,0.00164167,0.0021972,0.0120876,0.011068,0.00987223
33.0869,0.00325557,0.0038875,0.0404625,0.036882,0.0413306
68.4765,0.00336527,0.005807,0.156076,0.152065,0.212433
110.983,0.00391117,0.00787923,0.61884,0.636103,1.24081
182.246,0.00503053,0.01055,3.09576,3.04644,8.82575
286.42,0.00618193,0.0139028,15.9803,15.6866,70.3008
400.461,0.0070028,0.0177304,67.4404,66.2767,627.331
