num_nodes,AntSystem,BranchBoundTSP,BruteForceTSP,NearestNeighbor_0_Ahead,SimulatedAnnealing
2,100.321,100.321,100.321,100.321,100.321
3,156.775,156.775,156.775,156.775,156.775
4,203.366,199.228,199.228,205.727,199.228
5,230.402,220.096,220.096,234.155,220.096
6,248.315,234.497,234.497,249.324,234.497
7,265.265,252.634,252.634,274.161,252.634
8,289.463,267.89,267.89,295.53,267.89
9,310.135,282.474,282.474,313.193,282.474
10,321.872,290.876,290.876,323.139,290.876
11,331.921,303.363,303.363,343.462,303.546
12,344.846,312.354,312.354,351.253,312.42
